data\accountshopinfotable.db;;0000;04;2;
data\accountshopinfotable.db;;0004;04;0;
data\accountshopinfotable.db;;0008;04;2;
data\accountshopinfotable.db;;000c;04;2;
data\accountshopinfotable.db;;0014;04;2;
data\accountshopinfotable.db;;0018;04;2;
data\accountshopinfotable.db;;001c;04;2;
data\addpowerobject.db;guid;0000;04;2;
data\addpowerobject.db;;0004;04;2;'=5 (infact this is the hi-dword of the 'guid')
data\addpowerobject.db;outputlanguage;0008;04;1;
data\addpowerobject.db;name;000c;04;2;=0
data\addpowerobject.db;name_plural;0010;04;2;=0
data\addpowerobject.db;imageid;0014;04;2;
data\addpowerobject.db;note;0020;04;2;=0
data\addpowerobject.db;shortnote;0024;04;2;=0
data\addpowerobject.db;type;0090;04;2;=0
data\addpowerobject.db;inc_magic;0094;04;2;=0
data\addpowerobject.db;inc_magic_actionrate;0098;04;2;=0
data\addpowerobject.db;inc_magictype;009c;04;2;
data\addpowerobject.db;addonpos_armorpos;00a0;04;1;
data\addpowerobject.db;addonpos_armortype;00a4;04;1;
data\addpowerobject.db;addonpos_weapontype;00a8;04;1;
data\addpowerobject.db;addonpos_weaponpos;00ac;04;2;=0
data\addpowerobject.db;;00b0;04;2;=200
data\addpowerobject.db;addonpos_other;00b4;04;1;
data\addpowerobject.db;eqtype1;00b8;04;2;Attribute to change 1
data\addpowerobject.db;eqtype2;00bc;04;2;Attribute to change 2
data\addpowerobject.db;eqtype3;00c0;04;2;Attribute to change 3
data\addpowerobject.db;eqtype4;00c4;04;2;Attribute to change 4
data\addpowerobject.db;eqtype5;00c8;04;2;Attribute to change 5
data\addpowerobject.db;eqtype6;00cc;04;2;Attribute to change 6
data\addpowerobject.db;eqtype7;00d0;04;2;Attribute to change 7
data\addpowerobject.db;eqtype8;00d4;04;2;Attribute to change 8
data\addpowerobject.db;eqtype9;00d8;04;2;Attribute to change 9
data\addpowerobject.db;eqtype10;00dc;04;2;Attribute to change 10
data\addpowerobject.db;eqtypevalue1;00e0;04;2;value for attribute1
data\addpowerobject.db;eqtypevalue2;00e4;04;2;value for attribute2
data\addpowerobject.db;eqtypevalue3;00e8;04;2;value for attribute3
data\addpowerobject.db;eqtypevalue4;00ec;04;2;value for attribute4
data\addpowerobject.db;eqtypevalue5;00f0;04;2;value for attribute5
data\addpowerobject.db;eqtypevalue6;00f4;04;2;value for attribute6
data\addpowerobject.db;eqtypevalue7;00f8;04;2;value for attribute7
data\addpowerobject.db;eqtypevalue8;00fc;04;2;value for attribute8
data\addpowerobject.db;eqtypevalue9;0100;04;2;value for attribute9
data\addpowerobject.db;eqtypevalue10;0104;04;2;value for attribute10
data\addpowerobject.db;eqtypeonattackmagicrate;0108;04;2;=10
data\addpowerobject.db;eqtypeonattackmagicrank;010c;04;2;=0
data\addpowerobject.db;eqtypeonattackmagicid;0110;04;2;=0
data\addpowerobject.db;isstandardability;0114;04;0;
data\addpowerobject.db;standardability_lv;0118;04;2;
data\addpowerobject.db;standardability_argtype1;011c;04;2;=0
data\addpowerobject.db;standardability_argtype2;0120;04;2;=0
data\addpowerobject.db;standardability_argtype3;0124;04;2;=0
data\addpowerobject.db;standardability_argtype4;0128;04;2;=0
data\addpowerobject.db;standardability_argtype5;012c;04;2;=0
data\addpowerobject.db;standardability_arg1;0130;04;2;=0
data\addpowerobject.db;standardability_arg2;0134;04;2;=0
data\addpowerobject.db;standardability_arg3;0138;04;2;=0
data\addpowerobject.db;standardability_arg4;013c;04;2;=0
data\addpowerobject.db;standardability_arg5;0140;04;2;=0
data\addpowerobject.db;starvalue;0144;04;2;
data\addpowerobject.db;isbirthability;0148;04;0;
data\addpowerobject.db;inherentvalue;014c;04;1;
data\armorargtable.db;;0000;04;2;
data\armorargtable.db;;0004;04;3;
data\armorargtable.db;;0008;04;3;
data\armorargtable.db;;000c;26;5;
data\armorargtable.db;;0032;04;1;
data\armorargtable.db;;0036;04;1;
data\armorargtable.db;;003a;04;2;
data\armorargtable.db;;003e;04;2;
data\armorargtable.db;;0042;04;2;
data\armorargtable.db;;005e;04;5;
data\armorargtable.db;;0062;04;2;
data\armorargtable.db;;0066;04;5;
data\armorargtable.db;;006a;04;2;
data\armorargtable.db;;006e;04;2;
data\armorargtable.db;;008a;04;2;
data\armorargtable.db;;008e;04;1;
data\armorargtable.db;;0092;25;5;
data\armorargtable.db;;00b7;04;1;
data\armorargtable.db;;00bb;04;1;
data\armorargtable.db;;00bf;04;1;
data\armorargtable.db;;00c3;04;1;
data\armorargtable.db;;00c7;1c;5;
data\armorargtable.db;;00e3;04;1;
